Tijd	Ch1	Ch2
Sec	mBar	mBar
262,637	18,000	55,000
263,637	18,000	55,000
264,636	18,000	54,000
265,636	17,000	54,000
266,636	17,000	54,000
267,636	17,000	53,000
268,637	17,000	53,000
269,636	17,000	52,000
270,637	17,000	52,000
271,637	16,000	52,000
272,636	16,000	51,000
273,636	16,000	51,000
274,637	16,000	51,000
275,637	16,000	50,000
276,636	16,000	50,000
277,636	15,000	49,000
278,636	15,000	49,000
279,636	15,000	49,000
280,636	15,000	48,000
281,638	15,000	48,000
282,636	15,000	48,000
283,637	15,000	47,000
284,636	14,000	47,000
285,636	14,000	47,000
286,636	14,000	46,000
287,636	14,000	46,000
288,636	14,000	46,000
289,636	14,000	46,000
290,637	14,000	45,000
291,636	14,000	45,000
292,636	13,000	45,000
293,637	13,000	44,000
294,637	13,000	44,000
295,636	13,000	44,000
296,637	13,000	43,000
297,636	13,000	43,000
298,637	13,000	43,000
299,636	13,000	43,000
300,637	12,000	42,000
301,637	12,000	42,000
302,637	12,000	42,000
303,636	12,000	42,000
304,637	12,000	41,000
305,636	12,000	41,000
306,637	12,000	41,000
307,636	12,000	41,000
308,637	12,000	40,000
309,637	12,000	40,000
310,636	11,000	40,000
311,636	11,000	40,000
312,636	11,000	39,000
313,637	11,000	39,000
314,636	11,000	39,000
315,637	11,000	39,000
316,637	11,000	38,000
317,636	11,000	38,000
318,637	11,000	38,000
319,636	11,000	38,000
320,636	11,000	37,000
321,637	11,000	37,000
322,637	10,000	37,000
323,637	10,000	37,000
324,636	10,000	37,000
325,636	10,000	36,000
326,637	10,000	36,000
327,637	10,000	36,000
328,636	10,000	36,000
329,637	10,000	36,000
330,636	10,000	35,000
331,636	10,000	35,000
332,637	10,000	35,000
333,636	10,000	35,000
334,636	10,000	35,000
335,636	9,000	34,000
336,636	9,000	34,000
337,636	9,000	34,000
338,638	9,000	34,000
339,637	9,000	34,000
340,636	9,000	33,000
341,636	9,000	33,000
342,636	9,000	33,000
343,637	9,000	33,000
344,637	9,000	33,000
345,637	9,000	33,000
346,636	9,000	32,000
347,636	9,000	32,000
348,636	9,000	32,000
349,636	9,000	32,000
350,636	9,000	32,000
351,636	8,000	32,000
352,637	8,000	31,000
353,636	8,000	31,000
354,637	8,000	31,000
355,636	8,000	31,000
356,637	8,000	31,000
357,636	8,000	31,000
358,636	8,000	31,000
359,636	8,000	30,000
360,636	8,000	30,000
361,637	8,000	30,000
362,636	8,000	30,000
363,637	8,000	30,000
364,637	8,000	30,000
365,636	8,000	29,000
366,636	8,000	29,000
367,636	8,000	29,000
