Tijd	Ch1	Ch2
Sec	mBar	mBar
0,000	1033,000	1020,000
0,730	1033,000	1020,000
1,730	1033,000	1020,000
2,731	1033,000	1020,000
3,731	1033,000	1020,000
4,730	1033,000	1019,000
5,731	633,000	989,000
6,730	680,000	963,000
7,731	689,000	939,000
8,730	684,000	916,000
9,731	674,000	894,000
10,730	660,000	873,000
11,730	643,000	853,000
12,730	628,000	834,000
13,731	615,000	816,000
14,731	602,000	798,000
15,731	586,000	781,000
16,731	574,000	765,000
17,731	562,000	750,000
18,730	552,000	736,000
19,731	540,000	722,000
20,731	528,000	708,000
21,731	518,000	695,000
22,730	509,000	682,000
23,730	500,000	670,000
24,730	490,000	658,000
25,730	480,000	646,000
26,730	471,000	634,000
27,730	462,000	623,000
28,730	453,000	612,000
29,730	444,000	601,000
30,730	436,000	590,000
31,730	428,000	580,000
32,730	421,000	570,000
33,731	414,000	560,000
34,731	407,000	550,000
35,731	400,000	541,000
36,731	391,000	531,000
37,731	384,000	522,000
38,731	377,000	513,000
39,731	371,000	504,000
40,732	365,000	496,000
41,730	359,000	487,000
42,731	353,000	479,000
43,730	346,000	471,000
44,731	339,000	463,000
45,731	333,000	455,000
46,730	327,000	448,000
47,731	322,000	440,000
48,731	316,000	433,000
49,731	311,000	426,000
50,731	306,000	418,000
51,731	301,000	411,000
52,731	296,000	405,000
53,730	290,000	398,000
54,731	285,000	391,000
55,730	279,000	385,000
56,730	274,000	378,000
57,730	270,000	372,000
58,732	266,000	366,000
59,731	261,000	360,000
60,731	257,000	354,000
61,731	253,000	348,000
62,731	249,000	342,000
63,731	244,000	337,000
64,731	241,000	331,000
65,731	237,000	325,000
66,730	232,000	320,000
67,731	227,000	315,000
68,730	223,000	309,000
69,731	219,000	304,000
70,731	215,000	299,000
71,731	211,000	294,000
72,731	207,000	289,000
73,731	204,000	284,000
74,731	201,000	279,000
75,731	197,000	275,000
76,731	194,000	270,000
77,731	191,000	266,000
78,731	187,000	261,000
79,730	184,000	257,000
80,731	181,000	253,000
81,731	178,000	248,000
82,731	174,000	244,000
83,731	171,000	240,000
84,731	168,000	236,000
85,730	165,000	232,000
86,731	162,000	228,000
87,731	160,000	224,000
88,730	157,000	221,000
89,731	154,000	217,000
90,731	151,000	213,000
91,731	148,000	210,000
92,731	146,000	206,000
93,731	143,000	203,000
94,731	141,000	199,000
95,730	139,000	196,000
96,731	136,000	193,000
97,731	134,000	190,000
98,732	132,000	186,000
99,731	129,000	183,000
100,732	127,000	180,000
101,731	125,000	177,000
102,730	123,000	174,000
103,731	120,000	171,000
104,731	118,000	169,000
105,730	116,000	166,000
106,730	114,000	163,000
107,730	112,000	160,000
108,731	110,000	157,000
109,732	109,000	155,000
110,731	107,000	152,000
111,731	105,000	150,000
112,731	103,000	147,000
113,731	102,000	145,000
114,731	100,000	142,000
115,731	98,000	140,000
116,731	97,000	137,000
117,732	95,000	135,000
118,731	94,000	133,000
119,731	92,000	130,000
120,731	90,000	128,000
121,731	89,000	126,000
122,731	87,000	124,000
123,731	86,000	122,000
124,730	85,000	120,000
125,731	84,000	118,000
126,731	82,000	116,000
127,731	80,000	114,000
128,732	79,000	112,000
129,731	77,000	110,000
130,731	76,000	108,000
131,731	74,000	106,000
132,731	73,000	105,000
133,731	71,000	103,000
134,731	70,000	101,000
135,730	69,000	99,000
136,731	67,000	98,000
137,731	66,000	96,000
138,731	65,000	95,000
139,731	63,000	93,000
140,731	62,000	92,000
141,731	61,000	90,000
142,730	60,000	89,000
143,731	59,000	87,000
144,731	58,000	86,000
145,731	57,000	84,000
146,731	55,000	83,000
147,731	54,000	82,000
148,730	53,000	80,000
149,730	52,000	79,000
150,731	51,000	78,000
151,731	50,000	77,000
152,731	50,000	76,000
153,731	49,000	74,000
154,731	48,000	73,000
155,730	47,000	72,000
156,731	46,000	71,000
157,731	45,000	70,000
158,731	44,000	69,000
159,731	44,000	68,000
160,731	43,000	67,000
161,731	42,000	66,000
162,731	41,000	65,000
163,731	40,000	64,000
164,731	40,000	63,000
165,731	39,000	62,000
166,731	38,000	61,000
167,731	38,000	60,000
168,731	37,000	59,000
169,731	36,000	58,000
170,731	36,000	58,000
171,731	35,000	57,000
172,731	34,000	56,000
173,732	34,000	55,000
174,731	33,000	54,000
175,731	33,000	54,000
176,731	32,000	53,000
177,731	32,000	52,000
178,731	31,000	51,000
179,731	30,000	51,000
180,732	30,000	50,000
181,730	29,000	49,000
182,730	29,000	49,000
183,731	28,000	48,000
184,731	28,000	47,000
185,731	28,000	47,000
186,731	27,000	46,000
187,731	27,000	45,000
188,731	26,000	45,000
189,732	26,000	44,000
190,731	25,000	44,000
191,731	25,000	43,000
192,731	25,000	43,000
193,732	24,000	42,000
194,732	24,000	41,000
195,732	23,000	41,000
196,731	23,000	40,000
197,731	23,000	40,000
198,731	22,000	39,000
199,731	22,000	39,000
200,731	22,000	38,000
201,731	21,000	38,000
202,731	21,000	37,000
203,731	21,000	37,000
204,732	20,000	37,000
205,732	20,000	36,000
206,731	20,000	36,000
207,731	20,000	35,000
208,731	19,000	35,000
209,731	19,000	34,000
