Tijd	Ch1	Ch2
Sec	mBar	mBar
4,579	598,000	973,000
5,579	654,000	945,000
6,578	667,000	920,000
7,579	663,000	897,000
8,579	653,000	876,000
9,579	641,000	855,000
10,579	623,000	835,000
11,579	610,000	816,000
12,578	597,000	798,000
13,579	584,000	781,000
14,579	569,000	764,000
15,579	556,000	748,000
16,579	546,000	733,000
17,578	535,000	718,000
18,580	522,000	704,000
19,579	511,000	690,000
20,579	501,000	677,000
21,578	492,000	665,000
22,579	483,000	652,000
23,580	472,000	640,000
24,579	464,000	629,000
25,578	457,000	617,000
26,579	448,000	606,000
27,578	439,000	596,000
28,579	430,000	585,000
29,579	422,000	574,000
30,579	415,000	564,000
31,580	408,000	554,000
32,579	401,000	545,000
33,579	392,000	535,000
34,580	384,000	526,000
35,578	378,000	517,000
36,579	372,000	508,000
37,579	366,000	499,000
38,580	360,000	491,000
39,579	352,000	483,000
40,579	346,000	474,000
41,579	340,000	466,000
42,579	335,000	458,000
43,580	329,000	451,000
44,579	324,000	443,000
45,579	317,000	436,000
46,579	311,000	428,000
47,579	306,000	421,000
48,579	301,000	414,000
49,579	297,000	407,000
50,579	292,000	401,000
51,579	287,000	394,000
52,580	281,000	387,000
53,580	275,000	381,000
54,579	270,000	375,000
55,580	266,000	368,000
56,580	262,000	362,000
57,579	258,000	356,000
58,580	254,000	350,000
59,580	249,000	345,000
60,579	245,000	339,000
61,579	241,000	333,000
62,579	237,000	328,000
63,579	233,000	322,000
64,579	229,000	317,000
65,580	225,000	312,000
66,579	221,000	306,000
67,580	216,000	301,000
68,579	212,000	296,000
69,579	209,000	291,000
70,580	206,000	286,000
71,579	203,000	282,000
72,579	199,000	277,000
73,579	195,000	272,000
74,579	192,000	268,000
75,580	188,000	263,000
76,579	185,000	259,000
77,580	182,000	255,000
78,580	178,000	250,000
79,579	175,000	246,000
80,579	172,000	242,000
81,579	169,000	238,000
82,579	166,000	234,000
83,580	164,000	230,000
84,580	161,000	226,000
85,579	158,000	222,000
86,579	155,000	219,000
87,580	153,000	215,000
88,580	150,000	212,000
89,579	147,000	208,000
90,579	145,000	204,000
91,580	142,000	201,000
92,579	140,000	198,000
93,579	137,000	194,000
94,580	135,000	191,000
95,580	132,000	188,000
96,580	130,000	185,000
97,579	127,000	182,000
98,580	125,000	179,000
99,580	123,000	176,000
100,579	121,000	173,000
101,580	119,000	170,000
102,580	117,000	167,000
103,580	115,000	164,000
104,579	113,000	161,000
105,580	111,000	159,000
106,579	110,000	156,000
107,580	108,000	153,000
108,579	106,000	151,000
109,579	104,000	148,000
110,580	103,000	146,000
111,579	101,000	143,000
112,579	99,000	141,000
113,580	98,000	139,000
114,579	96,000	136,000
115,579	94,000	134,000
116,580	93,000	132,000
117,579	91,000	129,000
118,580	89,000	127,000
119,580	88,000	125,000
120,580	87,000	123,000
121,579	86,000	121,000
122,580	84,000	119,000
123,580	83,000	117,000
124,580	81,000	115,000
125,580	79,000	113,000
126,580	78,000	111,000
127,580	76,000	109,000
128,580	75,000	107,000
129,580	73,000	105,000
130,579	72,000	104,000
131,580	70,000	102,000
132,580	69,000	100,000
133,580	68,000	99,000
134,579	66,000	97,000
135,579	65,000	95,000
136,579	64,000	94,000
137,580	62,000	92,000
138,580	61,000	91,000
139,580	60,000	89,000
140,580	59,000	88,000
141,580	58,000	86,000
142,580	57,000	85,000
143,580	56,000	84,000
144,580	55,000	82,000
145,580	53,000	81,000
146,580	52,000	80,000
147,580	52,000	78,000
148,580	51,000	77,000
149,580	50,000	76,000
150,580	49,000	75,000
151,581	48,000	74,000
152,580	47,000	73,000
153,580	46,000	71,000
154,581	45,000	70,000
155,580	44,000	69,000
156,580	43,000	68,000
157,581	43,000	67,000
158,580	42,000	66,000
159,580	41,000	65,000
160,580	40,000	64,000
161,579	40,000	63,000
162,580	39,000	62,000
163,580	38,000	61,000
164,580	38,000	60,000
165,581	37,000	60,000
166,580	36,000	59,000
167,580	36,000	58,000
168,580	35,000	57,000
169,581	34,000	56,000
170,580	34,000	55,000
171,580	33,000	55,000
172,581	32,000	54,000
173,580	32,000	53,000
174,581	31,000	52,000
175,580	31,000	52,000
176,581	30,000	51,000
177,581	30,000	50,000
178,581	29,000	49,000
179,580	29,000	49,000
180,580	28,000	48,000
181,580	28,000	47,000
182,580	27,000	47,000
183,579	27,000	46,000
184,581	26,000	45,000
185,580	26,000	45,000
186,581	25,000	44,000
187,580	25,000	44,000
188,581	25,000	43,000
189,580	24,000	43,000
190,581	24,000	42,000
191,581	23,000	41,000
192,580	23,000	41,000
193,580	23,000	40,000
194,581	22,000	40,000
195,580	22,000	39,000
196,580	22,000	39,000
197,580	21,000	38,000
198,580	21,000	38,000
199,581	21,000	37,000
200,581	20,000	37,000
201,580	20,000	37,000
202,580	20,000	36,000
203,580	19,000	36,000
204,580	19,000	35,000
205,580	19,000	35,000
206,580	19,000	34,000
207,580	18,000	34,000
208,581	18,000	34,000
209,580	18,000	33,000
210,580	17,000	33,000
211,580	17,000	32,000
212,581	17,000	32,000
213,580	17,000	32,000
214,580	16,000	31,000
215,581	16,000	31,000
216,580	16,000	31,000
217,582	16,000	30,000
218,581	16,000	30,000
219,581	15,000	30,000
220,580	15,000	29,000
221,581	15,000	29,000
222,581	15,000	29,000
223,580	15,000	28,000
224,581	14,000	28,000
225,581	14,000	28,000
226,580	14,000	27,000
227,580	14,000	27,000
228,580	14,000	27,000
229,581	13,000	27,000
230,581	13,000	26,000
231,580	13,000	26,000
232,581	13,000	26,000
233,581	13,000	25,000
234,580	13,000	25,000
235,581	13,000	25,000
236,580	12,000	25,000
237,580	12,000	24,000
238,581	12,000	24,000
239,580	12,000	24,000
240,581	12,000	24,000
