Tijd	Ch1	Ch2
Sec	mBar	mBar
2,674	859,000	981,000
3,674	509,000	963,000
4,675	492,000	945,000
5,674	480,000	929,000
6,675	469,000	913,000
7,674	460,000	897,000
8,674	453,000	883,000
9,674	446,000	868,000
10,674	439,000	854,000
11,674	429,000	841,000
12,675	421,000	828,000
13,674	415,000	815,000
14,675	409,000	803,000
15,674	404,000	791,000
16,674	398,000	780,000
17,674	391,000	769,000
18,675	384,000	758,000
19,676	377,000	747,000
20,675	373,000	737,000
21,674	369,000	727,000
22,674	364,000	717,000
23,674	360,000	708,000
24,675	354,000	699,000
25,674	347,000	690,000
26,675	342,000	681,000
27,675	338,000	672,000
28,674	334,000	664,000
29,675	330,000	656,000
30,675	326,000	648,000
31,674	323,000	640,000
32,675	319,000	632,000
33,674	314,000	624,000
34,675	308,000	616,000
35,675	304,000	609,000
36,675	299,000	602,000
37,674	296,000	594,000
38,675	293,000	587,000
39,675	290,000	580,000
40,675	287,000	574,000
41,675	282,000	567,000
42,674	277,000	560,000
43,675	273,000	553,000
44,675	270,000	547,000
45,674	268,000	540,000
46,675	265,000	534,000
47,675	262,000	528,000
48,675	259,000	522,000
49,675	255,000	515,000
50,675	251,000	509,000
51,675	248,000	503,000
52,675	245,000	497,000
53,675	242,000	492,000
54,675	239,000	486,000
55,675	236,000	480,000
56,675	233,000	475,000
57,675	229,000	469,000
58,676	226,000	464,000
59,675	223,000	458,000
60,675	219,000	453,000
61,675	217,000	448,000
62,675	215,000	442,000
63,675	211,000	437,000
64,675	209,000	432,000
65,675	207,000	427,000
66,675	204,000	422,000
67,676	202,000	417,000
68,676	199,000	412,000
69,675	196,000	408,000
70,675	193,000	403,000
71,675	191,000	398,000
72,676	189,000	394,000
73,675	187,000	389,000
74,676	185,000	385,000
75,675	183,000	380,000
76,675	180,000	376,000
77,675	178,000	371,000
78,675	176,000	367,000
79,676	174,000	363,000
80,677	172,000	359,000
81,675	169,000	355,000
82,675	167,000	351,000
83,675	164,000	347,000
84,676	162,000	343,000
85,676	161,000	339,000
86,676	158,000	335,000
87,676	156,000	331,000
88,676	154,000	327,000
89,675	153,000	323,000
