Tijd	Ch1	Ch2
Sec	mBar	mBar
268,931	18,000	54,000
269,931	17,000	54,000
270,931	17,000	53,000
271,931	17,000	53,000
272,932	17,000	52,000
273,931	17,000	52,000
274,932	17,000	52,000
275,931	16,000	51,000
276,931	16,000	51,000
277,931	16,000	51,000
278,931	16,000	50,000
279,931	16,000	50,000
280,931	16,000	49,000
281,931	15,000	49,000
282,931	15,000	49,000
283,932	15,000	48,000
284,932	15,000	48,000
285,932	15,000	48,000
286,932	15,000	47,000
287,931	15,000	47,000
288,932	15,000	47,000
289,931	14,000	46,000
290,931	14,000	46,000
291,931	14,000	46,000
292,931	14,000	46,000
293,931	14,000	45,000
294,931	14,000	45,000
295,931	14,000	45,000
296,932	13,000	44,000
297,931	13,000	44,000
298,931	13,000	44,000
299,932	13,000	43,000
300,931	13,000	43,000
301,932	13,000	43,000
302,931	13,000	43,000
303,932	13,000	42,000
304,932	13,000	42,000
305,931	13,000	42,000
306,931	12,000	42,000
307,932	12,000	41,000
308,932	12,000	41,000
309,931	12,000	41,000
310,931	12,000	41,000
311,932	12,000	40,000
312,931	12,000	40,000
313,932	12,000	40,000
314,932	12,000	40,000
315,931	12,000	39,000
316,932	11,000	39,000
317,931	11,000	39,000
318,932	11,000	39,000
319,932	11,000	38,000
320,931	11,000	38,000
321,931	11,000	38,000
322,932	11,000	38,000
323,932	11,000	37,000
324,931	11,000	37,000
325,931	11,000	37,000
326,931	11,000	37,000
327,931	10,000	37,000
328,932	10,000	36,000
329,931	10,000	36,000
330,931	10,000	36,000
331,932	10,000	36,000
332,931	10,000	36,000
333,932	10,000	35,000
334,931	10,000	35,000
335,931	10,000	35,000
336,932	10,000	35,000
337,932	10,000	35,000
338,932	10,000	34,000
339,931	10,000	34,000
340,931	10,000	34,000
341,932	10,000	34,000
342,932	9,000	34,000
343,932	9,000	34,000
344,933	9,000	33,000
345,932	9,000	33,000
346,931	9,000	33,000
347,932	9,000	33,000
348,932	9,000	33,000
349,932	9,000	32,000
350,932	9,000	32,000
351,932	9,000	32,000
352,932	9,000	32,000
353,933	9,000	32,000
354,932	9,000	32,000
355,932	9,000	31,000
356,932	9,000	31,000
357,932	9,000	31,000
358,933	9,000	31,000
359,933	8,000	31,000
360,932	8,000	31,000
361,932	8,000	31,000
362,933	8,000	30,000
363,932	8,000	30,000
364,932	8,000	30,000
365,932	8,000	30,000
366,932	8,000	30,000
367,932	8,000	30,000
368,933	8,000	30,000
369,932	8,000	29,000
370,933	8,000	29,000
371,932	8,000	29,000
372,933	8,000	29,000
373,932	8,000	29,000
374,932	8,000	29,000
375,933	8,000	29,000
376,932	8,000	28,000
377,932	8,000	28,000
378,932	8,000	28,000
379,933	8,000	28,000
380,932	8,000	28,000
381,932	7,000	28,000
382,933	7,000	28,000
383,933	7,000	28,000
384,932	7,000	27,000
385,933	7,000	27,000
386,932	7,000	27,000
387,933	7,000	27,000
388,932	7,000	27,000
389,933	7,000	27,000
390,933	7,000	27,000
391,934	7,000	27,000
392,933	7,000	26,000
393,933	7,000	26,000
394,933	7,000	26,000
395,933	7,000	26,000
396,933	7,000	26,000
397,933	7,000	26,000
398,933	7,000	26,000
399,932	7,000	26,000
400,933	7,000	26,000
401,933	7,000	25,000
402,933	7,000	25,000
403,933	7,000	25,000
404,932	7,000	25,000
405,933	7,000	25,000
406,933	7,000	25,000
407,933	7,000	25,000
408,933	7,000	25,000
409,933	7,000	25,000
410,933	7,000	24,000
411,933	6,000	24,000
412,933	6,000	24,000
413,933	6,000	24,000
414,932	6,000	24,000
