Tijd	Ch1	Ch2
Sec	mBar	mBar
0,000	1005,000	993,000
0,779	1004,000	992,000
1,779	1003,000	991,000
2,778	1003,000	991,000
3,778	755,000	986,000
4,778	633,000	957,000
5,778	662,000	931,000
6,779	663,000	907,000
7,779	656,000	884,000
8,779	645,000	863,000
9,778	629,000	843,000
10,778	614,000	824,000
11,778	601,000	805,000
12,779	589,000	787,000
13,778	575,000	770,000
14,778	560,000	754,000
15,778	548,000	738,000
16,779	538,000	723,000
17,778	528,000	709,000
18,778	514,000	695,000
19,778	503,000	682,000
20,779	494,000	669,000
21,778	486,000	656,000
22,778	477,000	644,000
23,779	467,000	633,000
24,778	456,000	621,000
25,779	449,000	610,000
26,779	441,000	599,000
27,779	434,000	588,000
28,779	426,000	578,000
29,778	418,000	568,000
30,778	408,000	558,000
31,779	401,000	548,000
32,778	395,000	538,000
33,778	388,000	529,000
34,779	381,000	520,000
35,778	375,000	511,000
36,778	368,000	502,000
37,778	360,000	494,000
38,778	353,000	485,000
39,779	348,000	477,000
40,779	341,000	469,000
41,780	335,000	461,000
42,778	330,000	453,000
43,779	325,000	445,000
44,778	320,000	438,000
45,779	314,000	431,000
46,779	308,000	424,000
47,778	302,000	416,000
48,778	296,000	410,000
49,778	292,000	403,000
50,779	287,000	396,000
51,778	282,000	389,000
52,779	277,000	383,000
53,778	272,000	377,000
54,780	268,000	370,000
55,779	264,000	364,000
56,779	259,000	358,000
57,779	254,000	352,000
58,778	249,000	346,000
59,778	244,000	340,000
60,779	240,000	335,000
61,778	237,000	329,000
62,778	233,000	324,000
63,779	229,000	318,000
64,778	226,000	313,000
65,779	222,000	308,000
66,779	217,000	303,000
67,779	213,000	298,000
68,778	209,000	293,000
69,779	205,000	288,000
70,778	202,000	283,000
71,779	199,000	278,000
72,779	196,000	274,000
73,778	192,000	269,000
74,779	189,000	264,000
75,779	186,000	260,000
76,779	182,000	256,000
77,779	179,000	251,000
78,779	176,000	247,000
79,778	173,000	243,000
80,778	170,000	239,000
81,780	166,000	235,000
82,779	163,000	231,000
83,779	161,000	227,000
84,778	158,000	223,000
85,780	155,000	220,000
86,779	152,000	216,000
87,779	149,000	212,000
88,779	147,000	209,000
89,778	144,000	205,000
90,779	142,000	202,000
91,779	139,000	199,000
92,779	137,000	195,000
93,779	134,000	192,000
94,780	132,000	189,000
95,779	130,000	186,000
96,779	128,000	182,000
97,779	126,000	179,000
98,780	123,000	176,000
99,779	121,000	173,000
100,779	119,000	171,000
101,779	117,000	168,000
102,780	115,000	165,000
103,779	113,000	162,000
104,780	111,000	159,000
105,779	109,000	157,000
106,779	107,000	154,000
107,779	106,000	151,000
108,779	104,000	149,000
109,780	102,000	146,000
110,779	100,000	144,000
111,780	99,000	141,000
112,780	97,000	139,000
113,779	96,000	137,000
114,780	94,000	134,000
115,779	93,000	132,000
116,779	91,000	130,000
117,779	89,000	128,000
118,780	88,000	125,000
119,779	87,000	123,000
120,780	86,000	121,000
121,780	84,000	119,000
122,781	83,000	117,000
123,779	81,000	115,000
124,780	79,000	113,000
125,780	78,000	111,000
126,780	76,000	109,000
127,780	75,000	108,000
128,780	73,000	106,000
129,780	72,000	104,000
130,780	70,000	102,000
131,780	69,000	101,000
132,780	68,000	99,000
133,780	66,000	97,000
134,779	65,000	96,000
135,780	64,000	94,000
136,781	62,000	93,000
137,780	61,000	91,000
138,780	60,000	90,000
139,780	59,000	88,000
140,780	58,000	87,000
141,780	57,000	85,000
142,780	56,000	84,000
143,779	55,000	83,000
144,780	54,000	81,000
145,779	53,000	80,000
146,779	52,000	79,000
147,781	51,000	77,000
148,781	50,000	76,000
149,779	49,000	75,000
150,780	48,000	74,000
151,781	47,000	73,000
152,779	46,000	72,000
153,780	45,000	71,000
154,780	44,000	69,000
155,781	44,000	68,000
156,780	43,000	67,000
157,780	42,000	66,000
158,780	41,000	65,000
159,781	41,000	64,000
160,780	40,000	63,000
161,780	39,000	62,000
162,780	38,000	62,000
163,780	38,000	61,000
164,780	37,000	60,000
165,780	36,000	59,000
166,780	36,000	58,000
167,780	35,000	57,000
168,780	34,000	56,000
169,781	34,000	56,000
170,781	33,000	55,000
171,780	33,000	54,000
172,780	32,000	53,000
173,780	31,000	52,000
174,780	31,000	52,000
175,781	30,000	51,000
176,781	30,000	50,000
177,780	29,000	50,000
178,780	29,000	49,000
179,781	28,000	48,000
180,780	28,000	48,000
181,780	27,000	47,000
182,781	27,000	46,000
183,780	26,000	46,000
184,782	26,000	45,000
185,781	26,000	44,000
186,780	25,000	44,000
187,780	25,000	43,000
188,781	24,000	43,000
189,780	24,000	42,000
190,780	24,000	42,000
191,780	23,000	41,000
192,780	23,000	41,000
193,781	23,000	40,000
194,782	22,000	40,000
195,781	22,000	39,000
196,781	21,000	39,000
197,780	21,000	38,000
198,780	21,000	38,000
199,780	21,000	37,000
200,781	20,000	37,000
201,781	20,000	36,000
202,781	20,000	36,000
203,782	19,000	35,000
204,780	19,000	35,000
205,781	19,000	35,000
206,781	18,000	34,000
207,781	18,000	34,000
208,781	18,000	33,000
209,780	18,000	33,000
210,781	17,000	33,000
211,781	17,000	32,000
212,780	17,000	32,000
213,781	17,000	31,000
214,781	16,000	31,000
215,781	16,000	31,000
216,781	16,000	30,000
217,781	16,000	30,000
218,781	16,000	30,000
219,780	15,000	29,000
220,781	15,000	29,000
221,780	15,000	29,000
222,781	15,000	28,000
223,781	15,000	28,000
224,782	14,000	28,000
225,782	14,000	28,000
226,781	14,000	27,000
227,781	14,000	27,000
228,781	14,000	27,000
229,781	14,000	26,000
230,781	13,000	26,000
231,781	13,000	26,000
232,781	13,000	26,000
233,781	13,000	25,000
234,781	13,000	25,000
235,781	13,000	25,000
236,782	12,000	25,000
237,782	12,000	24,000
238,781	12,000	24,000
